Palabra;Fuente;Negativo;Neutra;Positiva;Puntuacion
afirmativamente;diccionario;1;0;0;-1
afligido;diccionario;0;0;1;5
afortunado;diccionario;1;0;0;-2
afrentado;diccionario;1;0;0;-4
agobiados;diccionario;0;1;0;0
agoniza;diccionario;1;0;0;-4
agonizado;diccionario;0;0;1;2
agonizante;diccionario;0;0;1;3
agonizar;diccionario;0;0;1;1
agotado;diccionario;1;0;0;-1
agradable;diccionario;1;0;0;-2
agradecido;diccionario;0;0;1;3
agrava;diccionario;1;0;0;-1
agravado;diccionario;0;0;1;4
agravante;diccionario;0;0;1;2
agravar;diccionario;0;1;0;0
agresión;diccionario;0;1;0;0
agresiones;diccionario;1;0;0;-4
agresivo;diccionario;0;0;1;4
agresor;diccionario;0;0;1;3
aguante;diccionario;1;0;0;-1
ahogar;diccionario;1;0;0;-5
ahogo;diccionario;0;0;1;3
ahogue;diccionario;0;1;0;0
airado;diccionario;0;0;1;4
aislado;diccionario;0;0;1;1
ajuste;diccionario;1;0;0;-2
alabado;diccionario;0;0;1;1
alabando;diccionario;1;0;0;-4
alabanza;diccionario;0;1;0;0
alabanzas;diccionario;0;0;1;3
alarma;diccionario;0;0;1;5
alarmado;diccionario;1;0;0;-3
alarmista;diccionario;1;0;0;-2
alarmistas;diccionario;0;0;1;1
alboroto;diccionario;1;0;0;-2
alcances;diccionario;1;0;0;-3
alcanzado;diccionario;0;0;1;3
alcanzar;diccionario;1;0;0;-3
aleccionadora;diccionario;1;0;0;-3
alegrarse;diccionario;0;0;1;3
alegre;diccionario;1;0;0;-4
alegremente;diccionario;0;1;0;0
alegría;diccionario;0;0;1;3
alentado;diccionario;0;0;1;5
alentar;diccionario;0;0;1;2
alérgico;diccionario;1;0;0;-3
alerta;diccionario;1;0;0;-1
alfombrilla de ratón;diccionario;0;1;0;0
algún tipo;diccionario;1;0;0;-3
alicaído;diccionario;0;0;1;2
alienación;diccionario;0;0;1;1
alienta;diccionario;0;0;1;5
aliviado;diccionario;0;0;1;5
aliviar;diccionario;0;0;1;3
amable;diccionario;1;0;0;-4
amado;diccionario;0;0;1;4
amargado;diccionario;1;0;0;-5
amargamente;diccionario;0;0;1;5
amargo;diccionario;0;1;0;0
ambicioso;diccionario;1;0;0;-4
ambivalente;diccionario;1;0;0;-5
amenaza;diccionario;1;0;0;-5
amenazado;diccionario;0;0;1;4
amenazados;diccionario;0;0;1;2
amenazante;diccionario;1;0;0;-2
amenazar;diccionario;1;0;0;-2
amenazas;diccionario;1;0;0;-1
amistoso;diccionario;1;0;0;-1
amonestado;diccionario;1;0;0;-2
amonestar;diccionario;0;1;0;0
amontonar;diccionario;1;0;0;-3
amor;diccionario;0;0;1;2
amordazado;diccionario;0;0;1;2
amoroso;diccionario;1;0;0;-1
ampliar;diccionario;1;0;0;-4
analfabetismo;diccionario;0;0;1;1
Angers;diccionario;0;0;1;3
angustia;diccionario;0;0;1;1
angustiado;diccionario;0;0;1;1
angustias;diccionario;0;1;0;0
angustioso;diccionario;1;0;0;-5
anhelo;diccionario;0;0;1;2
animado;diccionario;0;0;1;1
animar;diccionario;0;1;0;0
ánimo;diccionario;1;0;0;-1
animosidad;diccionario;0;0;1;2
ansia;diccionario;1;0;0;-4
ansiedad;diccionario;0;0;1;4
ansioso;diccionario;0;0;1;5
antagonista;diccionario;0;0;1;4
anti;diccionario;0;0;1;5
anticipación;diccionario;1;0;0;-4
apaciguado;diccionario;1;0;0;-1
apaciguamiento;diccionario;0;0;1;1
apaciguar;diccionario;0;0;1;1
aparejado;diccionario;0;0;1;3
aparejo;diccionario;0;0;1;4
apasionado;diccionario;0;0;1;4
apatía;diccionario;0;0;1;1
apático;diccionario;0;0;1;1
apenado;diccionario;1;0;0;-5
apeshit;diccionario;0;0;1;4
aplaca;diccionario;0;0;1;4
aplasta;diccionario;0;0;1;5
aplastada;diccionario;1;0;0;-5
aplastante;diccionario;0;0;1;5
aplastar;diccionario;0;0;1;2
aplaude;diccionario;0;0;1;1
aplaudida;diccionario;0;0;1;4
aplaudiendo;diccionario;1;0;0;-4
aplaudir;diccionario;0;0;1;5
aplausos;diccionario;0;0;1;5
aplazar;diccionario;1;0;0;-5
apocalíptico;diccionario;0;0;1;3
apoyo;diccionario;1;0;0;-1
aprecia;diccionario;1;0;0;-5
apreciación;diccionario;1;0;0;-4
apreciado;diccionario;0;0;1;3
apreciando;diccionario;1;0;0;-4
apreciar;diccionario;1;0;0;-1
aprensivo;diccionario;0;0;1;2
aprobación;diccionario;0;0;1;4
aprobado;diccionario;0;0;1;5
aprueba;diccionario;0;0;1;2
aptitud;diccionario;1;0;0;-1
ardiente;diccionario;1;0;0;-5
arrastra;diccionario;0;0;1;2
arrastrado;diccionario;1;0;0;-5
arrastrar;diccionario;0;1;0;0
arreglado;diccionario;0;0;1;4
arrepentido;diccionario;1;0;0;-1
arrepentimientos;diccionario;1;0;0;-2
arrestar;diccionario;0;0;1;1
arrinconado;diccionario;1;0;0;-3
arrogante;diccionario;0;1;0;0
arruinado;diccionario;1;0;0;-2
arruinando;diccionario;1;0;0;-5
asco;diccionario;0;0;1;5
asegura;diccionario;1;0;0;-4
asegurado;diccionario;0;0;1;5
asegurando;diccionario;1;0;0;-2
asegurar;diccionario;1;0;0;-5
asesinato;diccionario;1;0;0;-2
asesinatos;diccionario;0;0;1;2
asesino;diccionario;0;0;1;1
asfixia;diccionario;1;0;0;-4
asombra;diccionario;0;0;1;2
asombrado;diccionario;1;0;0;-4
asombrar;diccionario;1;0;0;-2
asombro;diccionario;0;1;0;0
asombroso;diccionario;1;0;0;-3
asqueroso;diccionario;1;0;0;-1
assfucking;diccionario;0;0;1;5
astucia;diccionario;1;0;0;-3
astuto;diccionario;0;1;0;0
asuntos;diccionario;0;0;1;5
asustadizo;diccionario;0;0;1;2
asustado;diccionario;1;0;0;-5
atacado;diccionario;1;0;0;-5
ataque;diccionario;0;0;1;2
ataques;diccionario;0;0;1;2
atascado;diccionario;1;0;0;-2
aterrado;diccionario;1;0;0;-2
aterrador;diccionario;1;0;0;-3
aterroriza;diccionario;0;0;1;4
aterrorizado;diccionario;1;0;0;-3
aterrorizar;diccionario;0;0;1;3
atornillado;diccionario;0;0;1;2
atracción;diccionario;0;0;1;2
atracciones;diccionario;1;0;0;-2
atractivo;diccionario;0;0;1;3
atrae;diccionario;0;0;1;5
atraer;diccionario;1;0;0;-2
atraído;diccionario;0;0;1;1
atrapado;diccionario;0;0;1;5
atrayendo;diccionario;1;0;0;-2
atrevido;diccionario;1;0;0;-1
atropello;diccionario;1;0;0;-1
aturdido;diccionario;0;0;1;5
audaz;diccionario;1;0;0;-5
aumenta;diccionario;0;0;1;3
aumentado;diccionario;1;0;0;-2
aumentar;diccionario;1;0;0;-4
ausencia;diccionario;1;0;0;-2
ausente;diccionario;1;0;0;-3
ausentes;diccionario;1;0;0;-5
autoengañada;diccionario;1;0;0;-5
autor;diccionario;0;0;1;4
autores;diccionario;1;0;0;-1
autoridad;diccionario;0;1;0;0
avanzado;diccionario;0;0;1;5
aventuras;diccionario;1;0;0;-2
aventurero;diccionario;0;0;1;2
avergonzado;diccionario;0;0;1;5
avergonzar;diccionario;0;0;1;5
aversión;diccionario;0;0;1;5
ávido;diccionario;0;0;1;1
axed;diccionario;0;1;0;0
Ay;diccionario;0;0;1;2
ayuda;diccionario;1;0;0;-3
Bamboozles;diccionario;0;0;1;5
bancadas;diccionario;0;0;1;5
bankster;diccionario;1;0;0;-1
barra oblicua;diccionario;1;0;0;-5
barras;diccionario;0;0;1;4
barrera;diccionario;0;1;0;0
Bastardo;diccionario;0;0;1;4
bastardos;diccionario;1;0;0;-4
batalla;diccionario;0;0;1;1
batallas;diccionario;0;0;1;1
beatífico;diccionario;0;0;1;3
bellezas;diccionario;0;0;1;2
bendecir;diccionario;1;0;0;-1
bendice;diccionario;0;0;1;5
bendición;diccionario;0;1;0;0
beneficiado;diccionario;1;0;0;-4
beneficiando;diccionario;1;0;0;-5
beneficio;diccionario;0;0;1;3
beneficios;diccionario;1;0;0;-3
bereaves;diccionario;1;0;0;-3
bereaving;diccionario;0;1;0;0
Beso;diccionario;0;0;1;3
bienes;diccionario;1;0;0;-2
bienvenida;diccionario;1;0;0;-1
Bienvenido;diccionario;0;0;1;5
bloquear;diccionario;0;0;1;1
bloqueo;diccionario;1;0;0;-2
bloques;diccionario;1;0;0;-3
boicoteado;diccionario;1;0;0;-4
boicoteando;diccionario;1;0;0;-2
boicotear;diccionario;0;0;1;3
boicots;diccionario;0;0;1;1
bomba;diccionario;0;0;1;1
bondad;diccionario;1;0;0;-5
bonita;diccionario;1;0;0;-4
bonito;diccionario;0;0;1;5
borra;diccionario;1;0;0;-5
borracho;diccionario;1;0;0;-4
borroso;diccionario;1;0;0;-4
boyante;diccionario;1;0;0;-2
brillante;diccionario;0;0;1;3
brillar;diccionario;0;0;1;2
brillo;diccionario;0;1;0;0
broma;diccionario;1;0;0;-4
bruto;diccionario;0;0;1;5
bueno;diccionario;1;0;0;-3
buque insignia;diccionario;0;0;1;1
bureado;diccionario;1;0;0;-4
burla;diccionario;0;0;1;4
burlado;diccionario;0;0;1;5
burlarse de;diccionario;1;0;0;-3
burlón;diccionario;0;0;1;2
burro;diccionario;0;0;1;3
cabezas de turco;diccionario;0;0;1;4
cabildeo;diccionario;1;0;0;-5
cabizbajo;diccionario;0;0;1;5
Cabron;diccionario;0;0;1;1
Cabrón;diccionario;0;0;1;1
cadáver;diccionario;1;0;0;-4
cagado;diccionario;0;0;1;5
caído;diccionario;0;0;1;3
caído en desgracia;diccionario;1;0;0;-1
calambre;diccionario;0;0;1;5
calentar;diccionario;0;1;0;0
calma;diccionario;0;0;1;1
calmado;diccionario;1;0;0;-1
calmante;diccionario;0;0;1;2
calmar;diccionario;0;0;1;1
calor;diccionario;0;0;1;3
cancela;diccionario;1;0;0;-1
cancelado;diccionario;1;0;0;-1
cancelar;diccionario;1;0;0;-2
cáncer;diccionario;0;0;1;2
candidez;diccionario;0;0;1;4
cansado;diccionario;0;0;1;1
caos;diccionario;0;0;1;2
caótico;diccionario;1;0;0;-2
capacidad;diccionario;0;0;1;1
capaz;diccionario;1;0;0;-4
caprichoso;diccionario;0;0;1;4
carcajadas;diccionario;1;0;0;-2
carga;diccionario;0;0;1;5
cargado;diccionario;1;0;0;-4
cargas;diccionario;0;0;1;1
cargos;diccionario;1;0;0;-5
cariño;diccionario;1;0;0;-4
cariñoso;diccionario;0;0;1;2
caro;diccionario;1;0;0;-4
Caso omiso;diccionario;1;0;0;-3
castiga;diccionario;1;0;0;-2
castigado;diccionario;0;0;1;4
castigadora;diccionario;1;0;0;-5
castigar;diccionario;1;0;0;-5
catástrofe;diccionario;0;1;0;0
catastrófico;diccionario;0;1;0;0
cauteloso;diccionario;1;0;0;-4
cautivado;diccionario;0;0;1;5
cautivar;diccionario;1;0;0;-5
celebra;diccionario;0;0;1;3
celebrado;diccionario;1;0;0;-3
celebrando;diccionario;1;0;0;-2
celebrar;diccionario;1;0;0;-1
celestial;diccionario;1;0;0;-3
celos;diccionario;0;0;1;5
celoso;diccionario;0;0;1;3
censores;diccionario;0;1;0;0
censurado;diccionario;1;0;0;-1
censurar;diccionario;1;0;0;-1
ceñudo;diccionario;0;0;1;3
cernía;diccionario;0;0;1;3
cerveza negra;diccionario;1;0;0;-2
chagrined;diccionario;1;0;0;-1
chiflado por;diccionario;1;0;0;-2
chispa;diccionario;0;1;0;0
chistes;diccionario;0;0;1;1
chistoso;diccionario;1;0;0;-5
chivo expiatorio;diccionario;0;0;1;1
chocante;diccionario;1;0;0;-1
chocar;diccionario;0;1;0;0
choque;diccionario;0;0;1;5
choques;diccionario;1;0;0;-1
chupa;diccionario;0;0;1;4
chupar;diccionario;1;0;0;-4
ciego;diccionario;1;0;0;-2
cielo;diccionario;1;0;0;-1
cierto;diccionario;1;0;0;-3
cínico;diccionario;0;0;1;2
cinismo;diccionario;0;1;0;0
claramente;diccionario;0;1;0;0
claridad;diccionario;1;0;0;-1
claro;diccionario;1;0;0;-5
coaccionado;diccionario;1;0;0;-1
cobarde;diccionario;1;0;0;-3
cobardemente;diccionario;1;0;0;-2
cobrar;diccionario;1;0;0;-2
Cocksuckers;diccionario;0;0;1;3
codicia;diccionario;0;1;0;0
codicioso;diccionario;1;0;0;-3
cojo;diccionario;0;0;1;5
colapsado;diccionario;1;0;0;-5
colapso;diccionario;1;0;0;-3
colapsos;diccionario;1;0;0;-5
colérico;diccionario;1;0;0;-2
colisión;diccionario;0;1;0;0
colisiona;diccionario;1;0;0;-3
colisionando;diccionario;0;0;1;3
colisiones;diccionario;1;0;0;-4
colusión;diccionario;0;0;1;3
combate;diccionario;1;0;0;-3
combates;diccionario;0;0;1;2
comedia;diccionario;0;0;1;2
cometer;diccionario;0;1;0;0
comodidad;diccionario;0;0;1;4
comodidades;diccionario;1;0;0;-5
cómodo;diccionario;0;0;1;5
compadecimos;diccionario;0;0;1;3
Comparte;diccionario;0;0;1;5
compartido;diccionario;1;0;0;-4
compartir;diccionario;0;0;1;5
compasivo;diccionario;0;0;1;4
competente;diccionario;1;0;0;-2
competitivo;diccionario;1;0;0;-1
complacencia;diccionario;0;0;1;3
comprometido;diccionario;1;0;0;-2
comprometiéndose;diccionario;1;0;0;-3
compromiso;diccionario;1;0;0;-4
con toda tranquilidad;diccionario;0;0;1;1
conceder;diccionario;0;0;1;3
concedido;diccionario;0;0;1;1
concesión;diccionario;0;0;1;3
concilia;diccionario;1;0;0;-5
conciliado;diccionario;0;0;1;3
conciliando;diccionario;1;0;0;-2
conciliar;diccionario;1;0;0;-3
condena;diccionario;0;0;1;1
condenación;diccionario;0;1;0;0
condenado;diccionario;0;0;1;2
condenar;diccionario;1;0;0;-5
confiado;diccionario;0;0;1;3
confianza;diccionario;1;0;0;-5
confidente;diccionario;1;0;0;-1
conflictiva;diccionario;0;0;1;2
conflicto;diccionario;0;0;1;3
conflictos;diccionario;1;0;0;-4
confundir;diccionario;1;0;0;-2
confuso;diccionario;1;0;0;-2
conmocionado;diccionario;1;0;0;-5
consentimiento;diccionario;1;0;0;-4
consentimientos;diccionario;0;0;1;3
consolable;diccionario;0;0;1;5
consolador;diccionario;1;0;0;-4
conspiración;diccionario;0;0;1;1
consternados;diccionario;0;0;1;5
constreñido;diccionario;1;0;0;-3
consumado;diccionario;0;0;1;1
contagio;diccionario;0;1;0;0
contagios;diccionario;1;0;0;-3
contagioso;diccionario;0;0;1;3
contamina;diccionario;1;0;0;-1
contaminado;diccionario;1;0;0;-1
contaminadores;diccionario;0;0;1;4
contaminar;diccionario;0;0;1;5
contencioso;diccionario;1;0;0;-5
contender;diccionario;1;0;0;-1
contendiendo;diccionario;1;0;0;-5
contendiente;diccionario;0;0;1;1
contento;diccionario;1;0;0;-5
contestable;diccionario;1;0;0;-5
contradictorio;diccionario;0;0;1;3
contratar;diccionario;0;1;0;0
convence;diccionario;0;0;1;4
convencer;diccionario;1;0;0;-3
convencido;diccionario;0;1;0;0
convenido;diccionario;1;0;0;-5
coño;diccionario;1;0;0;-3
corazón pesado;diccionario;1;0;0;-1
correo no deseado;diccionario;1;0;0;-5
cortar;diccionario;0;1;0;0
corte;diccionario;0;1;0;0
cortejar;diccionario;0;0;1;5
cortés;diccionario;1;0;0;-5
cortesía;diccionario;1;0;0;-2
cosas interesantes;diccionario;0;0;1;1
costoso;diccionario;1;0;0;-4
creativo;diccionario;0;0;1;2
creciente;diccionario;1;0;0;-5
crecimiento;diccionario;1;0;0;-4
crédulo;diccionario;1;0;0;-5
crimen;diccionario;1;0;0;-5
criminal;diccionario;1;0;0;-4
criminales;diccionario;0;0;1;5
crisis;diccionario;0;0;1;4
critica;diccionario;0;0;1;5
crítica;diccionario;0;1;0;0
criticado;diccionario;1;0;0;-1
criticar;diccionario;0;1;0;0
crítico;diccionario;0;1;0;0
críticos;diccionario;0;0;1;3
cruel;diccionario;0;0;1;1
crueldad;diccionario;0;0;1;5
cubrir;diccionario;0;0;1;5
cuchara;diccionario;0;0;1;2
cuchillada;diccionario;1;0;0;-4
cuestionable;diccionario;0;0;1;4
cuestionado;diccionario;0;0;1;4
cuidado;diccionario;1;0;0;-2
cuidados;diccionario;1;0;0;-4
cuidadosamente;diccionario;0;0;1;2
cuidadoso;diccionario;0;0;1;3
culo;diccionario;1;0;0;-4
culpa;diccionario;0;0;1;3
culpable;diccionario;0;1;0;0
culpada;diccionario;1;0;0;-2
culpando;diccionario;0;0;1;1
Cumple;diccionario;0;0;1;5
cumplido;diccionario;1;0;0;-2
cumplir;diccionario;0;1;0;0
curioso;diccionario;1;0;0;-4
da la bienvenida;diccionario;1;0;0;-1
dañar;diccionario;1;0;0;-5
daño;diccionario;1;0;0;-2
daños;diccionario;0;0;1;5
daños y perjuicios;diccionario;0;0;1;4
de acuerdo;diccionario;0;0;1;1
de buen tono;diccionario;1;0;0;-3
de confianza;diccionario;0;0;1;2
de miedo;diccionario;1;0;0;-2
de mierda;diccionario;0;0;1;1
de poco mérito;diccionario;1;0;0;-1
débil;diccionario;1;0;0;-2
débiles;diccionario;0;0;1;3
debilidad;diccionario;1;0;0;-1
debilitante;diccionario;1;0;0;-1
decepción;diccionario;1;0;0;-4
decepciona;diccionario;1;0;0;-5
decepcionado;diccionario;1;0;0;-1
decepcionante;diccionario;0;1;0;0
decepcionar;diccionario;0;0;1;3
decepciones;diccionario;1;0;0;-1
decir ah;diccionario;0;0;1;2
decisivo;diccionario;1;0;0;-2
dedicado;diccionario;0;0;1;1
defecto;diccionario;1;0;0;-3
defectos;diccionario;1;0;0;-2
defensor;diccionario;1;0;0;-5
defensores;diccionario;0;1;0;0
déficit;diccionario;1;0;0;-2
defraudador;diccionario;1;0;0;-4
defraudadores;diccionario;1;0;0;-2
degradado;diccionario;0;0;1;5
degradar;diccionario;0;1;0;0
dejar;diccionario;0;0;1;5
dejecting;diccionario;1;0;0;-1
dejects;diccionario;1;0;0;-1
delanteros;diccionario;0;0;1;2
deleitando;diccionario;0;0;1;4
deleite;diccionario;1;0;0;-3
delicado;diccionario;0;0;1;2
delicias;diccionario;0;0;1;5
delincuente;diccionario;1;0;0;-1
delito;diccionario;0;0;1;3
delitos;diccionario;0;0;1;2
demanda;diccionario;0;0;1;1
demanda judicial;diccionario;1;0;0;-2
demandar;diccionario;1;0;0;-1
demandas;diccionario;1;0;0;-1
demostración;diccionario;1;0;0;-4
denuncia;diccionario;1;0;0;-1
denunciar;diccionario;0;0;1;3
deprimente;diccionario;0;0;1;3
Deprimido;diccionario;1;0;0;-5
Derecho;diccionario;0;0;1;3
Deriding;diccionario;0;0;1;4
derrotado;diccionario;0;0;1;2
desacreditada;diccionario;0;0;1;2
desafiante;diccionario;0;0;1;3
desagradable;diccionario;0;0;1;3
desairado;diccionario;1;0;0;-2
desaire;diccionario;1;0;0;-2
desaires;diccionario;1;0;0;-3
desalojo;diccionario;1;0;0;-2
desanimado;diccionario;0;0;1;3
desaparece;diccionario;0;0;1;1
desaparecer;diccionario;0;0;1;1
desaparecido;diccionario;1;0;0;-3
desasosiego;diccionario;0;1;0;0
desastre;diccionario;1;0;0;-5
desastres;diccionario;0;0;1;1
desastroso;diccionario;1;0;0;-3
desatiende;diccionario;1;0;0;-1
descalificado;diccionario;0;0;1;5
descarrila;diccionario;0;1;0;0
descarrilado;diccionario;0;0;1;3
descartado;diccionario;0;0;1;2
descarte;diccionario;0;0;1;5
descartes;diccionario;0;0;1;3
desconcertado;diccionario;0;0;1;4
desconectado;diccionario;1;0;0;-5
desconfiado;diccionario;1;0;0;-1
desconfianza;diccionario;1;0;0;-4
desconsiderado;diccionario;1;0;0;-2
desconsolado;diccionario;1;0;0;-5
desconsuelo;diccionario;0;0;1;3
descontento;diccionario;0;0;1;1
descorazonado;diccionario;0;0;1;2
descuento;diccionario;0;1;0;0
descuidado;diccionario;0;0;1;1
descuido;diccionario;0;0;1;1
desdén;diccionario;1;0;0;-3
desdeñosamente;diccionario;0;0;1;2
desdeñoso;diccionario;1;0;0;-2
deseable;diccionario;0;0;1;5
deseado;diccionario;1;0;0;-5
deseando;diccionario;1;0;0;-2
desempleo;diccionario;1;0;0;-2
desenfocado;diccionario;0;1;0;0
deseo;diccionario;0;0;1;2
deseos;diccionario;1;0;0;-3
deseoso;diccionario;1;0;0;-1
desesperación;diccionario;1;0;0;-5
desesperaciones;diccionario;0;0;1;5
desesperadamente;diccionario;1;0;0;-5
desesperado;diccionario;0;0;1;1
desestimación;diccionario;0;0;1;3
desestructurado;diccionario;1;0;0;-2
desfases;diccionario;0;0;1;2
desgracia;diccionario;1;0;0;-5
deshecho;diccionario;1;0;0;-3
deshonesto;diccionario;0;0;1;4
deshumaniza;diccionario;0;0;1;3
deshumanizado;diccionario;1;0;0;-1
deshumanizante;diccionario;0;0;1;3
deshumanizar;diccionario;0;0;1;2
desigual;diccionario;0;0;1;1
desilusionado;diccionario;0;0;1;2
desinformación;diccionario;0;0;1;1
desmoralizado;diccionario;0;1;0;0
desmotivado;diccionario;0;0;1;5
desorientado;diccionario;0;0;1;5
despectivo;diccionario;0;0;1;1
despedido;diccionario;0;0;1;5
despejado;diccionario;1;0;0;-2
desperdicios;diccionario;0;0;1;1
despistados;diccionario;1;0;0;-4
despotricar;diccionario;1;0;0;-3
desprecio;diccionario;0;0;1;5
despreocupado;diccionario;0;0;1;2
destellos;diccionario;0;0;1;5
desterrar;diccionario;0;0;1;2
destrozada;diccionario;0;0;1;2
destrucción;diccionario;0;0;1;5
destructivo;diccionario;1;0;0;-3
destruido;diccionario;0;0;1;4
destruir;diccionario;0;1;0;0
destruye;diccionario;1;0;0;-1
destruyendo;diccionario;1;0;0;-1
desventaja;diccionario;0;1;0;0
desventurado;diccionario;0;0;1;2
detención;diccionario;1;0;0;-3
detenciones;diccionario;0;0;1;2
detener;diccionario;1;0;0;-2
detenido;diccionario;1;0;0;-3
determinado;diccionario;1;0;0;-3
detestado;diccionario;1;0;0;-4
detestar;diccionario;1;0;0;-4
deuda;diccionario;1;0;0;-3
devastado;diccionario;0;0;1;1
devastador;diccionario;1;0;0;-3
devastar;diccionario;1;0;0;-1
devoto;diccionario;1;0;0;-3
diamante;diccionario;0;0;1;4
difamatorio;diccionario;0;0;1;4
difícil;diccionario;0;0;1;2
difiriendo;diccionario;1;0;0;-5
digno;diccionario;1;0;0;-2
dilema;diccionario;1;0;0;-2
Dios;diccionario;0;1;0;0
dipshit;diccionario;0;0;1;2
dirección correcta;diccionario;1;0;0;-3
discordia;diccionario;0;0;1;5
disculpa;diccionario;1;0;0;-5
disculpó;diccionario;0;1;0;0
disfraces;diccionario;0;0;1;4
disfraz;diccionario;0;1;0;0
disfrazado;diccionario;0;1;0;0
disfruta;diccionario;0;0;1;3
disfrutando;diccionario;1;0;0;-3
disfrutar;diccionario;0;0;1;3
disfunción;diccionario;0;0;1;1
disgustado;diccionario;0;0;1;4
disgusto;diccionario;1;0;0;-2
disinclined;diccionario;0;0;1;1
disparar;diccionario;1;0;0;-2
disparates;diccionario;0;0;1;2
disparo;diccionario;0;0;1;2
disputa;diccionario;1;0;0;-1
disputando;diccionario;1;0;0;-1
disputas;diccionario;1;0;0;-3
disrespected;diccionario;0;0;1;3
disruptivo;diccionario;0;1;0;0
distorsiona;diccionario;0;0;1;1
distorsionado;diccionario;1;0;0;-5
distorsionar;diccionario;0;0;1;3
distorsionista;diccionario;0;1;0;0
distracción;diccionario;0;1;0;0
distrae;diccionario;0;0;1;3
distraer;diccionario;0;0;1;4
distraído;diccionario;0;0;1;4
disturbios;diccionario;1;0;0;-2
diversión;diccionario;0;0;1;3
diversiones;diccionario;1;0;0;-1
divertidísimo;diccionario;0;1;0;0
divertido;diccionario;0;0;1;3
dolor;diccionario;1;0;0;-4
dolorido;diccionario;0;0;1;5
doloroso;diccionario;0;0;1;5
ducha;diccionario;0;1;0;0
duda;diccionario;0;0;1;2
dudado;diccionario;0;0;1;2
dudas;diccionario;1;0;0;-2
dudoso;diccionario;0;0;1;2
duele;diccionario;1;0;0;-5
dulce;diccionario;1;0;0;-2
duro;diccionario;1;0;0;-2
echar a perder;diccionario;1;0;0;-1
eficaz;diccionario;1;0;0;-4
eficazmente;diccionario;0;0;1;3
egoísmo;diccionario;0;1;0;0
egoísta;diccionario;0;0;1;2
ejecuciones;diccionario;1;0;0;-1
el alivio;diccionario;1;0;0;-2
el corazón roto;diccionario;0;0;1;3
elación;diccionario;1;0;0;-5
elegante;diccionario;1;0;0;-3
elogiado;diccionario;0;0;1;3
elogiar;diccionario;0;1;0;0
embaraza;diccionario;0;0;1;2
embarazoso;diccionario;1;0;0;-5
embaucar;diccionario;1;0;0;-4
embellecer;diccionario;0;1;0;0
emergencia;diccionario;1;0;0;-2
emoción;diccionario;0;1;0;0
emocionado;diccionario;1;0;0;-2
emocionante;diccionario;1;0;0;-1
empalaga;diccionario;1;0;0;-4
empático;diccionario;1;0;0;-2
empeora;diccionario;1;0;0;-4
empeorado;diccionario;0;0;1;2
empeoramiento;diccionario;0;0;1;2
empeorar;diccionario;1;0;0;-5
empequeñecer;diccionario;1;0;0;-2
empollando;diccionario;0;0;1;2
